state,county,year,NonCrop,GM,Tolerant,Vulnerable,Unclassified,total
Missouri,St. Clair,2013,2005,145429,57622,70112,285864,561032
Kansas,Phillips,2014,137788,73657,674528,37598,326379,1249950
Georgia,Jasper,2018,0,730,1578,34423,82315,119046
Ohio,Greene,2016,2933,309006,273839,11874,74706,672358
Indiana,Lake,2012,573,224845,277349,2271,63744,568782
Nebraska,Red Willow,2016,191887,59363,746259,41684,99814,1139007
North Carolina,Lenoir,2013,31596,253410,130283,54615,76107,546011
Kentucky,Meade,2013,15,56433,70013,34047,160479,320987
South Dakota,Aurora,2012,2680,358321,552628,831017,146964,1891610
Ohio,Greene,2017,389,315210,271816,11301,73642,672358
Texas,Sterling,2009,2471,1614,25662,107,36259,66113
Missouri,St. Clair,2014,49,150065,62042,80863,268013,561032
Illinois,Knox,2014,439,541715,705626,11616,220811,1480207
Indiana,Lake,2013,874,202563,292744,2079,70522,568782
Nebraska,Red Willow,2017,170036,58995,773406,41963,94607,1139007
North Carolina,Lenoir,2014,15318,259547,101283,62979,106884,546011
Kansas,Phillips,2015,180148,66558,791869,43981,167394,1249950
Ohio,Greene,2018,248,335222,247987,17428,71473,672358
Florida,Okeechobee,2015,691,0,1230,122519,178797,303237
Kentucky,Meade,2014,0,70008,66841,30301,153837,320987
South Dakota,Aurora,2013,1250,352857,524755,792501,220247,1891610
New Mexico,Doña Ana,2017,72330,50188,37691,251910,160422,572541
Indiana,Lake,2014,23,219911,279365,3237,66246,568782
Missouri,St. Clair,2015,30814,99348,89058,106639,235173,561032
Illinois,Knox,2015,1615,551087,716335,14501,196669,1480207
Texas,Sterling,2010,2148,532,27404,17,36012,66113
Nebraska,Red Willow,2018,162670,60659,785423,44567,85688,1139007
North Carolina,Lenoir,2015,17792,269808,105902,61310,91199,546011
Kansas,Phillips,2016,162385,63389,814707,46676,162793,1249950
Indiana,Lake,2015,5600,211801,289834,4689,56858,568782
South Dakota,Aurora,2014,309,398232,540489,795733,156847,1891610
Massachusetts,Franklin,2009,7816,26,32768,66466,104475,211551
Kentucky,Meade,2015,63,83187,73370,55125,109242,320987
Missouri,St. Clair,2016,595,151631,82463,87292,239051,561032
Illinois,Knox,2016,2,554567,712761,13965,198912,1480207
Texas,Palo Pinto,2009,8875,21,113249,12279,225158,359582
Texas,Sterling,2011,1847,2391,20541,4,41330,66113
Virginia,New Kent,2009,1775,44909,23365,4020,20640,94709
North Carolina,Lenoir,2016,22675,235757,141566,56931,89082,546011
Indiana,Lake,2016,5,242054,264152,4822,57749,568782
Kentucky,Meade,2016,296,88423,68576,51007,112685,320987
South Dakota,Aurora,2015,1004,344038,552142,176688,817738,1891610
Virginia,New Kent,2010,200,32174,26018,4342,31975,94709
Kansas,Phillips,2017,145820,110679,784985,47531,160935,1249950
Missouri,St. Clair,2017,232,164863,64422,117746,213769,561032
Illinois,Knox,2017,16,568481,703746,15051,192913,1480207
Florida,Okeechobee,2016,485,0,3235,96416,203101,303237
Massachusetts,Franklin,2010,8890,35,30685,131316,40625,211551
Virginia,New Kent,2011,179,27212,15170,1748,50400,94709
North Carolina,Lenoir,2017,12107,251461,136333,57792,88318,546011
Texas,Sterling,2012,1322,590,23006,329,40866,66113
Indiana,Lake,2017,90,252132,252888,7947,55725,568782
Kentucky,Meade,2017,2,96259,59910,48633,116183,320987
Texas,Palo Pinto,2010,28812,103,55033,174,275460,359582
Arkansas,Poinsett,2009,61494,1059284,558725,12760,77098,1769361
South Dakota,Aurora,2016,55460,369987,479259,178381,808523,1891610
Minnesota,Murray,2009,19,724822,807388,32495,126364,1691088
Virginia,New Kent,2012,353,26558,18242,2953,46603,94709
Pennsylvania,Clinton,2009,1553,12308,56935,41340,86832,198968
Missouri,St. Clair,2018,162,171807,64435,123618,201010,561032
Illinois,Knox,2018,23,574070,698323,16356,191435,1480207
North Carolina,Lenoir,2018,10595,252340,125820,69877,87379,546011
Kansas,Phillips,2018,141027,147024,768403,51516,141980,1249950
Virginia,New Kent,2013,1299,26675,20104,9444,37187,94709
Texas,Sterling,2013,464,224,20538,79,44808,66113
Indiana,Lake,2018,44,238361,266684,7449,56244,568782
Massachusetts,Franklin,2011,15951,703,29547,104777,60573,211551
Minnesota,Murray,2010,82,773171,789045,29224,99566,1691088
South Dakota,Aurora,2017,384,443035,509541,262273,676377,1891610
Kentucky,Meade,2018,104,101673,57217,54163,107830,320987
Arkansas,Poinsett,2010,53796,960193,653427,775,101170,1769361
Virginia,New Kent,2014,777,26939,20467,8824,37702,94709
Texas,Palo Pinto,2011,22135,130,64376,97,272844,359582
Virginia,New Kent,2015,944,30402,19455,9103,34805,94709
Texas,Sterling,2014,298,1155,19174,232,45254,66113
West Virginia,Wyoming,2009,6,17,71,1123,4728,5945
Ohio,Preble,2009,149,385507,368095,15444,88673,857868
Florida,Okeechobee,2017,403,0,1636,91909,209289,303237
Minnesota,Murray,2011,323,707264,835103,31508,116890,1691088
South Dakota,Aurora,2018,4073,479233,431773,406429,570102,1891610
Georgia,Jones,2009,2961,1270,1116,15572,52218,73137
Virginia,New Kent,2016,2890,27108,21409,8583,34719,94709
Arkansas,Poinsett,2011,63226,1092776,524037,2891,86431,1769361
Pennsylvania,Clinton,2010,2645,14394,64383,61738,55808,198968
Texas,Palo Pinto,2012,16945,119,67913,635,273970,359582
Ohio,Preble,2010,111,380028,369083,7525,101121,857868
West Virginia,Wyoming,2010,13,8,299,1756,3869,5945
Virginia,New Kent,2017,23,31771,21240,8514,33161,94709
Massachusetts,Franklin,2012,8892,73,28896,93177,80513,211551
Texas,Sterling,2015,388,1133,26823,13,37756,66113
Minnesota,Murray,2012,1,713621,823983,29226,124257,1691088
Nebraska,Saline,2009,209,434525,653907,23036,192528,1304205
Georgia,Jones,2010,1915,759,460,14005,55998,73137
Virginia,New Kent,2018,63,29986,23050,8480,33130,94709
Arkansas,Poinsett,2012,69960,1032752,572819,1531,92299,1769361
Ohio,Preble,2011,13,363404,376519,7767,110165,857868
West Virginia,Wyoming,2011,0,0,113,986,4846,5945
Nebraska,Saline,2010,275,411328,623706,15320,253576,1304205
Minnesota,Murray,2013,6,702303,847198,27977,113604,1691088
Georgia,Jones,2011,3067,651,470,14664,54285,73137
Texas,Sterling,2016,370,819,21279,27,43618,66113
Texas,Palo Pinto,2013,5231,9,58069,5893,290380,359582
Pennsylvania,Clinton,2011,5469,13516,61195,86219,32569,198968
Massachusetts,Franklin,2013,7727,20,22049,71114,110641,211551
Florida,Okeechobee,2018,4011,0,645,140327,158254,303237
Arkansas,Poinsett,2013,76283,1080330,521081,363,91304,1769361
Ohio,Preble,2012,20,349289,384856,11597,112106,857868
New Mexico,Doña Ana,2018,70347,65605,42654,246777,147158,572541
West Virginia,Wyoming,2012,4,16,8,620,5297,5945
Nebraska,Saline,2011,746,405423,692283,23085,182668,1304205
Georgia,Jones,2012,2420,374,708,8115,61520,73137
Minnesota,Murray,2014,1,757051,795351,29268,109417,1691088
Illinois,Lawrence,2009,31655,388572,255344,2969,95313,773853
Texas,Sterling,2017,444,545,22222,30,42872,66113
Ohio,Preble,2013,29,352511,396904,11800,96624,857868
Texas,Palo Pinto,2014,5463,97,64228,2092,287702,359582
Kentucky,Montgomery,2009,3,1825,1468,48601,181417,233314
Massachusetts,Franklin,2014,5516,142,25520,119589,60784,211551
North Carolina,Vance,2009,9779,32623,4889,8091,128787,184169
Georgia,Jones,2013,711,113,1204,36642,34467,73137
Arkansas,Poinsett,2014,59866,976135,644075,3414,85871,1769361
Nebraska,Saline,2012,81,460255,681835,18835,143199,1304205
West Virginia,Wyoming,2013,16,0,6,499,5424,5945
Illinois,Lawrence,2010,94,318416,364894,2916,87533,773853
Minnesota,Murray,2015,345,746105,822778,33311,88549,1691088
Ohio,Preble,2014,120,365887,389692,14049,88120,857868
Indiana,Wabash,2009,250,390434,383670,12939,94644,881937
Kentucky,Montgomery,2010,1,2305,2199,81300,147509,233314
Pennsylvania,Clinton,2012,5414,16979,61909,85209,29457,198968
North Carolina,Vance,2010,36733,47703,3734,18416,77583,184169
Texas,Sterling,2018,471,2980,22876,138,39648,66113
Illinois,Lawrence,2011,6064,365520,343149,14892,44228,773853
Georgia,Jones,2014,2132,236,520,35915,34334,73137
Nebraska,Saline,2013,464,441182,687695,27191,147673,1304205
West Virginia,Wyoming,2014,4,5,16,1415,4505,5945
Kentucky,Montgomery,2011,0,2187,2394,456,228277,233314
Texas,Palo Pinto,2015,102662,137,75307,4796,176680,359582
Ohio,Preble,2015,310,405813,356142,14059,81544,857868
Indiana,Wabash,2010,239,403825,361287,9406,107180,881937
Arkansas,Poinsett,2015,136368,923162,619645,14743,75443,1769361
North Carolina,Vance,2011,43019,36665,3933,14909,85643,184169
Massachusetts,Franklin,2015,13263,25,29650,98874,69739,211551
Minnesota,Murray,2016,45,759805,800266,42842,88130,1691088
Kentucky,Montgomery,2012,0,2874,4327,777,225336,233314
Illinois,Lawrence,2012,546,326584,340434,3094,103195,773853
Georgia,Jones,2015,2603,468,1017,20162,48887,73137
Nebraska,Saline,2014,239,494121,648128,32411,129306,1304205
North Carolina,Vance,2012,39693,37307,5020,35333,66816,184169
Indiana,Wabash,2011,206,429912,355881,13064,82874,881937
Ohio,Preble,2016,354,409667,355474,13178,79195,857868
Minnesota,Murray,2017,2,736554,829728,37524,87280,1691088
Kentucky,Montgomery,2013,0,3636,3754,31007,194917,233314
Arkansas,Poinsett,2016,68332,962696,645842,20266,72225,1769361
Kansas,Pratt,2009,78463,93845,1126177,23889,163086,1485460
West Virginia,Wyoming,2015,0,1,26,2047,3871,5945
Illinois,Lawrence,2013,319,369380,289944,3488,110722,773853
Virginia,Northumberland,2009,3647,107792,72675,2968,20707,207789
Massachusetts,Franklin,2016,14230,19,23822,96202,77278,211551
North Carolina,Vance,2013,52378,39651,7361,26514,58265,184169
Pennsylvania,Clinton,2013,1231,13951,48865,31953,102968,198968
Georgia,Jones,2016,1773,289,597,16071,54407,73137
Indiana,Wabash,2012,341,360306,402124,16204,102962,881937
Ohio,Preble,2017,137,417212,346996,16000,77523,857868
Nebraska,Saline,2015,3151,486981,674059,25883,114131,1304205
Texas,Palo Pinto,2016,16793,178,60169,3897,278545,359582
Kentucky,Montgomery,2014,0,7293,2104,18981,204936,233314
Virginia,Northumberland,2010,749,80443,76050,1724,48823,207789
Illinois,Lawrence,2014,40,336941,348249,2639,85984,773853
North Carolina,Vance,2014,33242,43101,5011,27284,75531,184169
Minnesota,Murray,2018,556,777087,794155,38963,80327,1691088
West Virginia,Wyoming,2016,0,0,2,1528,4415,5945
Kansas,Pratt,2010,66165,160344,1105576,24556,128819,1485460
Indiana,Wabash,2013,141,364734,407857,13948,95257,881937
Ohio,Preble,2018,36,419380,346507,18712,73233,857868
Georgia,Jones,2017,831,287,1572,25904,44543,73137
Kentucky,Montgomery,2015,131,6557,5692,84973,135961,233314
Nebraska,Saline,2016,739,481713,690355,21941,109457,1304205
Virginia,Northumberland,2011,622,74935,54157,2701,75374,207789
Arkansas,Poinsett,2017,95976,1081305,493692,28807,69581,1769361
Illinois,Lawrence,2015,1507,346321,346430,8121,71474,773853
North Carolina,Vance,2015,22544,54075,5847,27769,73934,184169
Massachusetts,Franklin,2017,12736,27,26784,107162,64842,211551
Kentucky,Montgomery,2016,0,8070,3919,78620,142705,233314
Texas,Palo Pinto,2017,12064,94,63057,1325,283042,359582
